"Statistics name :","2020 Population Census Reference Table : Result with Imputation Result with Imputation on 2020 Population Census"
"Table Number :","2-5"
"Title :","[Result with Imputation by Labour Force Status, Industry, Occupation and Employment status] Population (Aged 15 and over) by Sex and Labour force status and employment status - Metropolitan Areas"
"Implementation date :","2020","Oct."
"Cities, Towns and Villages :","-"

"***","Data not available"
"-","Data not available"

"","","","","","","","","","/Tabulated variable Code","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01"
"","","","","","","","","","/Tabulated variable Auxiliary Code","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","/Tabulated variable","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]"
"","","","","","","","","","/Labour force status and employment status Code","0","1","11","111","112","113","114","12","2","21","22","23","R1","R11","R12","R13","R14"
"","","","","","","","","","/Labour force status and employment status Auxiliary Code","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Time Code","Time Auxiliary Code","Time","Metropolitan Areas Code","Metropolitan Areas Auxiliary Code","Metropolitan Areas","Sex Code","Sex Auxiliary Code","Sex","/Labour force status and employment status","Total","Population in labour force","Employed persons","(Employed persons) Mostly worked","(Employed persons) Worked besides doing housework","(Employed persons) Worked besides attending school","(Employed persons) Absent from work","Unemployed","Population not in labour force","Did housework","Attending school","Others","(Special count) Employees (including Board member of company, etc.)","(Special count) Employees (including Board member of company, etc.), Mostly worked","(Special count) Employees (including Board member of company, etc.), Worked besides doing housework","(Special count) Employees (including Board member of company, etc.), Worked besides attending school","(Special count) Employees (including Board member of company, etc.), Absent from work"
"2020000000","","2020","09301","","Kaminokawa-machi","0","","Total","","26,234","17,379","16,774","14,334","1,994","157","289","605","8,855","3,230","1,708","3,917","14,701","12,740","1,567","156","238"
"2020000000","","2020","09301","","Kaminokawa-machi","1","","Male","","13,369","10,135","9,752","9,396","147","77","132","383","3,234","315","904","2,015","8,480","8,226","89","76","89"
"2020000000","","2020","09301","","Kaminokawa-machi","2","","Female","","12,865","7,244","7,022","4,938","1,847","80","157","222","5,621","2,915","804","1,902","6,221","4,514","1,478","80","149"
"2020000000","","2020","09342","","Mashiko-machi","0","","Total","","19,236","12,282","11,864","10,105","1,436","61","262","418","6,954","2,212","918","3,824","9,592","8,391","960","60","181"
"2020000000","","2020","09342","","Mashiko-machi","1","","Male","","9,516","6,841","6,569","6,200","174","32","163","272","2,675","303","466","1,906","5,167","4,965","82","31","89"
"2020000000","","2020","09342","","Mashiko-machi","2","","Female","","9,720","5,441","5,295","3,905","1,262","29","99","146","4,279","1,909","452","1,918","4,425","3,426","878","29","92"
"2020000000","","2020","09343","","Motegi-machi","0","","Total","","10,883","6,327","6,014","5,239","652","15","108","313","4,556","1,374","427","2,755","4,707","4,246","382","14","65"
"2020000000","","2020","09343","","Motegi-machi","1","","Male","","5,332","3,608","3,387","3,219","100","7","61","221","1,724","204","205","1,315","2,555","2,485","40","6","24"
"2020000000","","2020","09343","","Motegi-machi","2","","Female","","5,551","2,719","2,627","2,020","552","8","47","92","2,832","1,170","222","1,440","2,152","1,761","342","8","41"
"2020000000","","2020","09344","","Ichikai-machi","0","","Total","","9,885","6,579","6,324","5,442","707","36","139","255","3,306","1,155","476","1,675","5,323","4,698","480","36","109"
"2020000000","","2020","09344","","Ichikai-machi","1","","Male","","5,051","3,790","3,620","3,456","74","14","76","170","1,261","168","262","831","3,019","2,919","36","14","50"
"2020000000","","2020","09344","","Ichikai-machi","2","","Female","","4,834","2,789","2,704","1,986","633","22","63","85","2,045","987","214","844","2,304","1,779","444","22","59"
"2020000000","","2020","09345","","Haga-machi","0","","Total","","12,961","8,471","8,225","6,954","1,046","61","164","246","4,490","1,529","651","2,310","6,395","5,593","620","59","123"
"2020000000","","2020","09345","","Haga-machi","1","","Male","","6,485","4,823","4,657","4,422","114","32","89","166","1,662","201","326","1,135","3,578","3,444","53","30","51"
"2020000000","","2020","09345","","Haga-machi","2","","Female","","6,476","3,648","3,568","2,532","932","29","75","80","2,828","1,328","325","1,175","2,817","2,149","567","29","72"
"2020000000","","2020","09361","","Mibu-machi","0","","Total","","34,021","20,874","20,136","17,129","2,381","189","437","738","13,147","4,159","2,476","6,512","17,420","15,048","1,842","187","343"
"2020000000","","2020","09361","","Mibu-machi","1","","Male","","16,505","11,613","11,130","10,624","212","90","204","483","4,892","503","1,151","3,238","9,437","9,092","134","88","123"
"2020000000","","2020","09361","","Mibu-machi","2","","Female","","17,516","9,261","9,006","6,505","2,169","99","233","255","8,255","3,656","1,325","3,274","7,983","5,956","1,708","99","220"
